Temperature,Rainfall,Humidity,WindSpeed,TopographyScore,PopulationDensity,FloodRiskScore,DroughtRiskScore
27.49080237694725,118.09065608323263,58.682040923334924,9.993404874581069,6,1542,0.5882118400924807,0.5645448463820797
39.01428612819832,142.03069781250642,56.645604811570166,14.934935450251885,2,228,0.2624785531250072,0.767307164609979
34.6398788362281,256.3642179606541,48.807695625143005,11.253335613126662,4,1714,0.7038491310673934,0.5371498592345073
31.973169683940732,102.00131581796764,70.3633335050744,1.6660516622359278,7,1008,0.5146681286866307,0.586441618679542
23.12037280884873,260.8949054436514,63.831208025431444,3.711604735671108,6,550,0.5815498949373904,0.36945321180301566
23.119890406724053,26.440329293007448,83.28504961620018,4.386563680618383,9,422,0.39971147699223053,0.5299542763971367
21.161672243363988,233.0395311625892,41.60547902410291,5.157285072896897,7,1141,0.6824328124028769,0.35074778962515635
37.3235229154987,254.2642899164209,72.19339637775632,11.308067839010086,1,1019,0.4856825443515788,0.6618468132775771
32.022300234864176,54.54529585120162,78.14744392557806,10.07931559650787,6,1739,0.5504392176124463,0.6729132843447552
34.161451555920905,129.10395971166014,77.97432845941535,4.063200767284179,3,1497,0.4929488441240668,0.7078965855086073
20.411689885916047,49.649932399096684,84.30369835477626,1.3510968691137415,8,564,0.4158332582212185,0.5149308241614152
39.39819704323989,211.98123869826532,76.45168714147471,3.4286440894943615,1,413,0.3377013763314059,0.7261169323622599
36.648852816008436,160.60433041849703,86.39050308238481,19.687626252372066,10,1963,0.8389492560205523,0.4602911841128514
24.246782213565524,190.5970040124963,56.632829991044574,9.370938995829444,2,826,0.416107782236107,0.5902820695436057
23.636499344142013,58.94609008686334,65.16047083757715,17.34691009404225,3,1524,0.41949565565207036,0.6981418388824464
23.668090197068675,63.52375861572585,40.70398316414453,16.975049333376866,3,1589,0.43541528735080653,0.6933187976247658
26.084844859190753,12.449197652971911,40.34787936516456,10.230391149257475,7,823,0.3843324418366354,0.6368745986566208
30.495128632644757,96.62026055871891,52.00633102257599,14.13375416921087,8,378,0.43702251173191,0.5467702268734631
28.638900372842315,167.92339840010249,45.04035985695426,3.8550402082542456,9,843,0.6270815537778917,0.4187426159957943
25.824582803960837,257.38047419919866,53.01056839678768,13.767934098538166,7,1971,0.8478116379991096,0.36255988536723066
32.23705789444759,200.07823423760422,48.85216472641987,5.44769158526579,8,1011,0.6574758158195603,0.446332999967503
22.789877213040835,130.61889701992544,41.42600124193241,16.641241935083016,6,419,0.41496544113325046,0.5114502023087565
25.842892970704362,285.93603431824135,85.46520732030247,1.6744826621781983,2,646,0.49204003813137925,0.49765073662449044
27.327236865873836,215.77356017274957,40.41115656944458,15.46277345770555,1,1927,0.5942484001919439,0.6213119070236713
29.12139968434072,279.049560858765,76.80410721685428,1.9987381313723906,3,1460,0.6533884009541834,0.49928992974865594
35.70351922786027,158.2763919816497,47.60739434597583,17.62378473788618,9,1620,0.7458626577573885,0.48833333580811367
23.993475643167194,77.67128243794188,85.61148109998,6.084090362700074,7,1187,0.5174680915977131,0.5469775387620134
30.284688768272233,15.848005909416596,84.63979697949429,13.087867296611496,2,620,0.18760889545490733,0.8347635109473613
31.848291377240848,217.82545544515514,72.69505731846286,9.750045572405597,1,1111,0.46052828382795014,0.656707477649057
20.929008254399953,36.390899401660235,73.61170749003026,7.326062905246779,2,1618,0.3767676660018447,0.7339740694514884
32.150897038028766,90.83253848159015,40.266957098484426,12.908836663669929,3,426,0.2719250427573224,0.7336657658929173
23.41048247374583,159.7412723651692,89.2435783056801,18.95045961102476,6,1472,0.6228236359612992,0.4842637179865828
21.30103185970559,169.3249763339243,83.89163017879072,0.8253949474924371,9,1276,0.7008055292599159,0.35603640290429733
38.977710745066666,180.1749590961408,84.7553112865046,18.377057117662087,8,1275,0.6793610656623787,0.5246198572131768
39.31264066149119,49.87659910491019,72.9622268525436,12.181633100420271,10,149,0.41358511011656685,0.6055202287291931
36.167946962329225,113.92122144649463,57.239346432726826,16.146286015381047,9,1471,0.6717458016072163,0.5414870897455273
26.092275383467413,185.15826813509,84.68243245452405,7.6774990686855515,8,1523,0.7262314090389889,0.4117042191565729
21.95344228012768,290.9456593901354,54.57584640755962,9.436859496752275,7,1886,0.8709396215445948,0.2930057307898024
33.684660530243136,218.2893413099066,68.13557716711014,17.37701503602328,6,865,0.5867103792332297,0.5048284585187965
28.803049874792027,276.78112712818734,44.98654861719412,8.296959396196462,8,167,0.602034585697986,0.33249082992528095
22.440764696895577,228.66361749425312,86.09778150663752,10.6931913349817,6,470,0.5324040194380589,0.39960235303607083
29.903538202225405,177.51509066772013,47.038522888560664,0.4038984616866581,2,1316,0.4832389896308002,0.6519571620544116
20.687770422304368,57.60701074090336,51.244840286520365,3.1719601167608458,9,590,0.46234112304544817,0.47505696380708823
38.186408041575646,200.00569556775392,67.90670790641074,12.833730159495996,9,1300,0.7388952172975043,0.46265818304895934
25.17559963200034,187.0138697879721,78.20465001064908,14.339538021277543,3,1574,0.5701265219866357,0.5686701416133672
33.25044568707964,180.74075113717993,70.96756529681494,11.652018735689989,9,1925,0.8216563901524222,0.44293065723990815
26.23422152178822,146.93576039647223,51.60669564000781,2.8662007255122135,2,1286,0.44426195599608026,0.6553565566854883
30.401360423556216,158.59698119678268,40.04715212637451,8.908108571556696,3,979,0.4393855346630919,0.6437924688665433
30.934205586865595,100.33275813543122,77.85752901537197,7.101895327263796,6,748,0.43614750903936805,0.6129708708511786
